Name: Charlotte Rodriguez, Gender: Female, FamilyName: Johnson, Role: Worker, Stats: Health: 100, Dexterity: 100, Intelligence: 100, Wisdom: 100, Charisma: 100, Strength: 100, Age: 24
Name: Benjamin Johnson, Gender: Male, FamilyName: Miller, Role: Warrior, Stats: Health: 100, Dexterity: 100, Intelligence: 100, Wisdom: 100, Charisma: 100, Strength: 100, Age: 59
Name: Mia Martinez, Gender: Female, FamilyName: Johnson, Role: Leadership, Stats: Health: 105, Dexterity: 119, Intelligence: 89, Wisdom: 116, Charisma: 114, Strength: 88, Age: 25
Name: Elijah Thomas, Gender: Male, FamilyName: Miller, Role: Worker, Stats: Health: 100, Dexterity: 113, Intelligence: 92, Wisdom: 90, Charisma: 91, Strength: 100, Age: 74
Name: Oliver Brown, Gender: Female, FamilyName: Johnson, Role: Worker, Stats: Health: 114, Dexterity: 103, Intelligence: 83, Wisdom: 119, Charisma: 117, Strength: 93, Age: 22
Name: Logan Martin, Gender: Female, FamilyName: Johnson, Role: Leadership, Stats: Health: 102, Dexterity: 95, Intelligence: 116, Wisdom: 85, Charisma: 118, Strength: 92, Age: 10
Name: William Hernandez, Gender: Female, FamilyName: Johnson, Role: Warrior, Stats: Health: 98, Dexterity: 95, Intelligence: 80, Wisdom: 108, Charisma: 100, Strength: 109, Age: 78
Name: Sophia Brown, Gender: Male, FamilyName: Miller, Role: Warrior, Stats: Health: 100, Dexterity: 110, Intelligence: 89, Wisdom: 96, Charisma: 112, Strength: 113, Age: 93
Name: James Moore, Gender: Male, FamilyName: Miller, Role: Worker, Stats: Health: 107, Dexterity: 119, Intelligence: 84, Wisdom: 98, Charisma: 107, Strength: 116, Age: 65
Name: Liam Lopez, Gender: Male, FamilyName: Miller, Role: Leadership, Stats: Health: 97, Dexterity: 111, Intelligence: 96, Wisdom: 115, Charisma: 97, Strength: 102, Age: 79
Name: Elijah Davis, Gender: Female, FamilyName: Johnson, Role: Warrior, Stats: Health: 121, Dexterity: 138, Intelligence: 72, Wisdom: 126, Charisma: 131, Strength: 103, Age: 56
Name: Ava Martinez, Gender: Female, FamilyName: Johnson, Role: Warrior, Stats: Health: 100, Dexterity: 133, Intelligence: 77, Wisdom: 102, Charisma: 102, Strength: 101, Age: 43
Name: Noah Jackson, Gender: Female, FamilyName: Johnson, Role: Worker, Stats: Health: 110, Dexterity: 125, Intelligence: 70, Wisdom: 112, Charisma: 94, Strength: 71, Age: 80
Name: Emma Rodriguez, Gender: Male, FamilyName: Miller, Role: Leadership, Stats: Health: 110, Dexterity: 99, Intelligence: 93, Wisdom: 95, Charisma: 99, Strength: 80, Age: 65
Name: Ava Anderson, Gender: Female, FamilyName: Johnson, Role: Leadership, Stats: Health: 104, Dexterity: 95, Intelligence: 100, Wisdom: 107, Charisma: 106, Strength: 108, Age: 88
